JSD(warm, teplý) = 0.954545, distance = 0.977008
JSD(cold, studený) = 0.872130, distance = 0.933879
JSD(full, plný) = 0.774712, distance = 0.880177
JSD(new, nový) = 0.798178, distance = 0.893408
JSD(old, starý) = 0.954545, distance = 0.977008
JSD(good, dobrý) = 0.691715, distance = 0.831694
JSD(bad, zlý) = 0.928571, distance = 0.963624
JSD(rotten, zhnitý) = 0.764461, distance = 0.874334
JSD(dirty, špinavý) = 0.832695, distance = 0.912521
JSD(straight, priamy) = 0.767688, distance = 0.876178
JSD(round, okrúhly) = 0.763656, distance = 0.873874
JSD(sharp, ostrý) = 0.753985, distance = 0.868323
JSD(dull, tupý) = 0.818895, distance = 0.904928
JSD(smooth, hladký) = 0.878043, distance = 0.937040
JSD(wet, mokrý) = 0.954545, distance = 0.977008
JSD(dry, suchý) = 0.954545, distance = 0.977008
JSD(correct, správny) = 0.835854, distance = 0.914250
JSD(near, blízky) = 0.923077, distance = 0.960769
JSD(far, ďaleký) = 0.791830, distance = 0.889848
JSD(right, pravý) = 0.854265, distance = 0.924265
JSD(left, ľavý) = 0.863636, distance = 0.929320
JSD(at, v) = 1.000000, distance = 1.000000
JSD(in, v) = 1.000000, distance = 1.000000
JSD(with, s) = 1.000000, distance = 1.000000
JSD(and, a) = 0.609987, distance = 0.781016
JSD(if, ak) = 1.000000, distance = 1.000000
JSD(because, pretože) = 0.790272, distance = 0.888973
JSD(name, meno) = 0.428571, distance = 0.654654
